
Image Name                     PID Session Name        Session#    Mem Usage
loom_crashpad_handler.exe    19360 Console                    3        676 K
Loom.exe                     17760 Console                    3      8,296 K
Loom.exe                      3640 Console                    3     14,216 K
Loom.exe                     15280 Console                    3      3,588 K
msedge.exe                   18592 Console                    3     37,400 K
msedge.exe                   12940 Console                    3        776 K
msedge.exe                    1704 Console                    3      7,232 K
msedge.exe                   20124 Console                    3     13,508 K
msedge.exe                    6304 Console                    3      2,932 K
IGCCTray.exe                 11852 Console                    3      7,268 K
IGCC.exe                     15752 Console                    3      3,988 K
CrossDeviceService.exe        2536 Console                    3     14,932 K
RuntimeBroker.exe              376 Console                    3      1,596 K
ms-teams.exe                  2700 Console                    3     16,328 K
RuntimeBroker.exe            12840 Console                    3      1,432 K
msedgewebview2.exe           19532 Console                    3     41,204 K
msedgewebview2.exe           17456 Console                    3        700 K
msedgewebview2.exe            6536 Console                    3      7,916 K
msedgewebview2.exe           17988 Console                    3     17,744 K
msedgewebview2.exe           13380 Console                    3      3,256 K
msedgewebview2.exe           18580 Console                    3     45,856 K
ms-teams.exe                   932 Console                    3     20,900 K
msedgewebview2.exe           19948 Console                    3      4,040 K
ApplicationFrameHost.exe      6660 Console                    3      3,208 K
UserOOBEBroker.exe            8256 Console                    3        272 K
WidgetService.exe             7592 Console                    3      2,496 K
FileCoAuth.exe               13436 Console                    3     15,028 K
vmware.exe                   19368 Console                    3     19,072 K
vmware-unity-helper.exe      16644 Console                    3      1,296 K
vmware-vmx.exe                8444 Console                    3    851,908 K
svchost.exe                  19044 Services                   0      1,200 K
chrome.exe                   17084 Console                    3    115,688 K
chrome.exe                    2784 Console                    3     10,304 K
dllhost.exe                  16664 Console                    3      5,192 K
AdobeCollabSync.exe          11572 Console                    3        168 K
AdobeCollabSync.exe          15240 Console                    3      5,060 K
svchost.exe                  19228 Services                   0        920 K
McCHSvc.exe                   2404 Services                   0         96 K
taskhostw.exe                 7732 Console                    3        580 K
LockApp.exe                  19588 Console                    3      1,536 K
RuntimeBroker.exe            10360 Console                    3     11,136 K
svchost.exe                   5428 Services                   0      1,512 K
svchost.exe                   6092 Services                   0      1,952 K
chrome.exe                   15428 Console                    3    578,928 K
chrome.exe                   19764 Console                    3      5,836 K
chrome.exe                    5460 Console                    3    285,556 K
SnippingTool.exe             14648 Console                    3     11,980 K
dllhost.exe                   9160 Console                    3      4,312 K
Code.exe                     20412 Console                    3     89,608 K
Code.exe                     19620 Console                    3      3,744 K
Code.exe                      1580 Console                    3     99,144 K
Code.exe                      9156 Console                    3     16,248 K
Code.exe                     10496 Console                    3    207,788 K
Code.exe                     14760 Console                    3     28,040 K
Code.exe                     17852 Console                    3     27,664 K
Code.exe                      2840 Console                    3     18,076 K
Code.exe                      6356 Console                    3     54,832 K
conhost.exe                  17668 Console                    3      1,288 K
powershell.exe                1620 Console                    3      8,664 K
conhost.exe                   6696 Console                    3      1,524 K
bash.exe                     10188 Console                    3        720 K
conhost.exe                  14064 Console                    3      2,744 K
bash.exe                     10648 Console                    3        640 K
conhost.exe                   7976 Console                    3      1,372 K
powershell.exe                4732 Console                    3      9,680 K
